Origin,Destination,dist_da_t_op,time_da_t_op,toll_op,hbw_lo_pk,hbw_med_pk,hbw_hi_pk,hbc_hi_op,hbs_hi_op,hbo_hi_op,nhb_hi_op
73,205,102.9,126.8,0,-11.975,-6.679,-4.845,-3.352,-2.893,-3.213,-5.213
73,206,95.1,113.7,0,-8.301,-4.668,-3.409,-2.443,-1.815,-2.254,-3.47
73,207,81.8,102.2,0.102,-10.234,-5.713,-4.148,-2.837,-2.378,-2.7,-1.36195
73,208,68,82.9,0,-6.764,-3.659,-2.583,-1.876,-1.247,-1.688,-1.36195
73,209,93.6,116.4,0.022,-10.938,-6.154,-4.494,-3.072,-2.607,-2.934,-4.626
73,210,72.4,77.6,0,-7.193,-3.862,-2.709,-1.988,-1.359,-1.8,-1.36195
73,211,51,71,0,-5.887,-3.44,-2.593,-1.764,-1.134,-1.575,-1.36195
73,212,68.1,69.5,0,-7.725,-4.168,-2.937,-2.145,-1.516,-1.957,-3.074
73,213,74.8,75.1,0,-8.144,-4.403,-3.107,-2.273,-1.645,-2.086,-3.247
73,214,61,68.2,0,-7.638,-4.218,-3.034,-2.177,-1.549,-1.989,-2.68
73,215,49.4,69.5,0,-6.007,-3.52,-2.656,-1.813,-1.182,-1.627,-1.36195
73,216,12.1,17.7,0,-1.464,-1.005,-0.83,-0.481,0.148,-0.304,-0.577
73,217,33.7,47.8,0,-4.225,-2.411,-1.783,-1.265,-0.637,-1.078,-1.663
73,218,26,40.1,0,-2.875,-1.66,-1.229,-0.863,-0.236,-0.678,-1.2
73,219,24.2,38.8,0,-2.716,-1.589,-1.188,-0.82,-0.192,-0.636,-1.114
73,220,19.5,35.4,0,-2.266,-1.375,-1.055,-0.72,-0.093,-0.532,-0.952
73,221,17.2,31.8,0,-2.099,-1.265,-0.969,-0.636,-0.009,-0.454,-0.827
73,222,14.4,27,0,-1.821,-1.113,-0.866,-0.554,0.074,-0.368,-0.676
73,223,7,12.5,0,-0.978,-0.651,-0.542,-0.237,0.4,-0.046,-0.255
73,224,6.2,12,0,-1.341,-1.188,-1.094,-0.578,0.07,-0.359,-0.682
73,225,5.3,10.1,0,-0.632,-0.489,-0.452,-0.172,0.47,0.023,-0.157
73,226,15.3,19.2,0,-1.711,-1.099,-0.87,-0.518,0.113,-0.325,-0.626
73,227,17.9,21.8,0,-1.978,-1.277,-1.005,-0.594,0.03,-0.414,-0.771
73,228,19.8,23.7,0,-2.303,-1.387,-1.061,-0.637,-0.01,-0.452,-1.36195
73,229,24.7,27.9,0,-2.73,-1.649,-1.233,-0.795,-0.167,-0.614,-1.047
73,230,125,155.6,0.00112,-3.99616,-2.29274,-1.63919,-0.98508,-0.356093,-0.798336,-1.36195
73,231,495,530.6,0.00112,-3.99616,-2.29274,-1.63919,-0.98508,-0.356093,-0.798336,-1.36195
73,232,1674.9,1874.5,0,-3.99616,-2.29274,-1.63919,-0.98508,-0.356093,-0.798336,-1.36195
73,233,1649.7,1855,0.0058,-3.99616,-2.29274,-1.63919,-0.98508,-0.356093,-0.798336,-1.36195
73,234,43.2,187.9,0,-3.99616,-2.29274,-1.63919,-0.98508,-0.356093,-0.798336,-1.36195
73,235,7545,8210.6,0.00112,-3.99616,-2.29274,-1.63919,-0.98508,-0.356093,-0.798336,-1.36195
73,236,8045,8810.6,0.00112,-3.99616,-2.29274,-1.63919,-0.98508,-0.356093,-0.798336,-1.36195
74,1,30.5,46.5,0,-3.387,-1.974,-1.449,-1.043,-0.415,-0.86,-1.508
74,2,30.8,47.3,0,-3.518,-2.019,-1.482,-1.05,-0.421,-0.862,-1.44
74,3,36.2,51.8,0.205,-4.022,-2.302,-1.696,-1.203,-0.574,-1.016,-1.701
74,4,40.6,48.9,0.572,-4.25,-2.43,-1.791,-1.26,-0.655,-1.09,-1.706
74,5,35.5,46,0.321,-3.632,-2.092,-1.538,-1.096,-0.468,-0.911,-1.552
74,6,36.5,44.5,0.477,-3.768,-2.143,-1.575,-1.104,-0.485,-0.924,-1.549
74,7,36.5,42.2,0.572,-3.922,-2.232,-1.63,-1.095,-0.537,-0.954,-1.554
74,8,37.7,45.8,0.572,-4.225,-2.401,-1.761,-1.169,-0.634,-1.047,-1.669
74,9,36.9,44.2,0.572,-4.211,-2.398,-1.758,-1.122,-0.614,-1.004,-1.639
74,10,34.4,41.1,0.572,-3.81,-2.195,-1.633,-1.033,-0.487,-0.887,-1.482
74,11,27.3,43.4,0,-3.042,-1.796,-1.336,-0.928,-0.301,-0.744,-1.306
74,12,26.7,42.5,0,-3.123,-1.808,-1.344,-0.915,-0.287,-0.728,-1.285
74,13,29.3,45.6,0.065,-3.377,-1.96,-1.461,-0.999,-0.371,-0.812,-1.389
74,14,24.4,40.5,0,-2.929,-1.698,-1.27,-0.839,-0.209,-0.652,-1.183
74,15,26.4,43.5,0.04,-3.105,-1.811,-1.362,-0.914,-0.285,-0.726,-1.265
74,16,22.3,41.6,0,-2.836,-1.673,-1.268,-0.826,-0.198,-0.639,-1.113
74,17,31.3,37.4,0.572,-3.787,-2.16,-1.584,-0.955,-0.454,-0.809,-1.528
74,18,28.6,34.1,0.572,-3.304,-1.885,-1.395,-0.809,-0.309,-0.661,-1.141
74,19,31.6,37.7,0.571,-3.573,-2.033,-1.501,-0.926,-0.41,-0.781,-1.34
74,20,30.2,38.7,0.528,-3.516,-2.03,-1.511,-0.929,-0.388,-0.77,-1.309
74,21,27.4,31.9,0.572,-3.206,-1.807,-1.329,-0.761,-0.261,-0.614,-1.113
74,22,28.5,34.8,0.572,-3.329,-1.882,-1.386,-0.816,-0.316,-0.669,-1.21
74,23,25.6,30.5,0.572,-3.017,-1.725,-1.28,-0.711,-0.211,-0.564,-1.028
74,24,21.9,27.2,0.572,-2.746,-1.635,-1.241,-0.632,-0.133,-0.479,-0.902
74,25,25,30.5,0.572,-3.045,-1.747,-1.294,-0.724,-0.225,-0.583,-1.093
74,26,26.6,33.4,0.572,-3.159,-1.822,-1.36,-0.766,-0.266,-0.62,-1.133
74,27,23.6,28,0.572,-2.743,-1.573,-1.169,-0.628,-0.128,-0.483,-0.931
74,28,27.5,35.8,0.572,-3.227,-1.868,-1.401,-0.788,-0.29,-0.642,-1.154
74,29,19.3,35.3,0,-2.344,-1.405,-1.075,-0.691,-0.063,-0.505,-0.951
74,30,19,36,0,-2.355,-1.425,-1.099,-0.693,-0.065,-0.507,-0.934
74,31,20.2,38.6,0,-2.478,-1.491,-1.148,-0.742,-0.114,-0.546,-0.954
74,32,17.2,32.2,0,-2.125,-1.254,-0.955,-0.607,0.021,-0.419,-0.828
74,33,14.6,29.1,0,-1.807,-1.089,-0.842,-0.51,0.119,-0.32,-0.667
74,34,12,23.7,0,-1.601,-1.036,-0.831,-0.469,0.162,-0.288,-0.549
74,35,15.8,23.9,0.156,-2.025,-1.254,-0.991,-0.529,0.074,-0.355,-0.678
74,36,17.9,25.6,0.496,-2.208,-1.343,-1.047,-0.5,0.019,-0.352,-0.744
